Fråga,Svar,Område
Emma köper 4 paket pennor med 12 pennor i varje paket. Hon ger 9 pennor till sin lillebror och tappar bort 3. Hur många pennor har hon kvar?,36.0,multiplikation
Leo sparar 35 kr varje vecka i 6 veckor. Sedan köper han ett spel för 120 kr. Hur mycket pengar har han kvar?,90.0,multiplikation
Maja bakar 5 plåtar bullar med 14 bullar på varje plåt. Familjen äter 18 bullar och ger bort 12. Hur många bullar finns kvar?,40.0,multiplikation
"En klass åker buss på utflykt. Bussen har 10 rader med 4 platser i varje rad. Om 7 platser redan är upptagna av lärare, hur många elever får plats?",33.0,multiplikation
Noah läser 22 sidor varje dag i 5 dagar. På helgen läser han 18 sidor till. Hur många sidor har han läst totalt?,128.0,multiplikation
En affär levererar 6 lådor med 24 äpplen i varje. 15 äpplen är dåliga och kastas. Hur många äpplen kan säljas?,129.0,multiplikation
Alva har 200 kr. Hon köper 3 böcker för 48 kr styck och en penna för 12 kr. Hur mycket pengar har hon kvar?,44.0,subtraktion
Erik tränar 25 minuter varje dag i 6 dagar. Sedan springer han ett extra pass på 40 minuter. Hur många minuter tränar han totalt?,190.0,multiplikation
Clara delar 72 kakor lika mellan 8 barn. Barnen äter 5 kakor var direkt. Hur många kakor finns kvar?,32.0,division
William har 144 klistermärken. Han sätter 12 klistermärken på varje sida i sitt album. När han fyllt albumet ger han bort 6 klistermärken. Hur många sidor fyllde han?,12.0,division
En bondgård har 9 hagar. I varje hage går 16 får. På vintern säljs 25 får. Hur många får finns kvar?,119.0,multiplikation
Liv köper 6 påsar godis med 15 bitar i varje. Hon delar lika mellan sig och tre kompisar. Hur många bitar får varje person?,22.5,division
En bok har 320 sidor. Omar läser 40 sidor per dag i 5 dagar. Hur många sidor har han kvar att läsa?,120.0,subtraktion
Elsa samlar 8 snäckor varje dag i 9 dagar. Hon ger bort 15 snäckor. Hur många har hon kvar?,57.0,multiplikation
Leo cyklar 7 km till skolan och 7 km hem igen varje dag i 5 dagar. Hur långt cyklar han totalt?,70.0,mått
"Anna köper 5 pizzor. Varje pizza delas i 8 bitar. Om 13 bitar blir över efter festen, hur många bitar åt gästerna?",27.0,multiplikation
Hussein har 180 kr. Han köper 4 spel för 35 kr styck. Hur mycket pengar har han kvar?,40.0,subtraktion
Selina planterar 10 rader morötter med 12 morötter i varje rad. 18 morötter växer inte. Hur många morötter växer?,102.0,multiplikation
Arvin har 95 kulor. Han köper 3 påsar till med 12 kulor i varje. Hur många kulor har han då?,131.0,multiplikation
Lina köper 4 biljetter för 55 kr styck. Hon betalar med 300 kr. Hur mycket får hon tillbaka?,80.0,subtraktion
Emily läser 18 sidor på morgonen och 14 sidor på kvällen i 6 dagar. Hur många sidor läser hon totalt?,192.0,multiplikation
Debora har 96 pärlor. Hon gör armband med 8 pärlor i varje. Hon säljer 5 armband. Hur många armband har hon kvar?,7.0,division
Gedri köper 8 glassar för 14 kr styck. Hur mycket kostar glassarna tillsammans?,112.0,multiplikation
Erik har 250 kr. Han köper ett spel för 135 kr och ett block för 28 kr. Hur mycket pengar har han kvar?,87.0,subtraktion
Anna springer 3 km varje dag i 8 dagar. Sedan springer hon ett lopp på 5 km. Hur långt springer hon totalt?,29.0,mått
Leo har 72 legobitar. Han bygger torn med 9 bitar i varje. Hur många torn kan han bygga?,8.0,division
Clara bakar 7 plåtar kakor med 11 kakor på varje plåt. 9 kakor bränns. Hur många kakor blev bra?,68.0,multiplikation
Omar lägger 48 böcker på 6 hyllor lika många på varje hylla. Sen köper han 12 böcker till och lägger lika många på varje hylla. Hur många böcker står på varje hylla nu?,10.0,division
Elsa har 400 kr. Hon köper 5 spel för 68 kr styck. Hur mycket pengar har hon kvar?,60.0,subtraktion
William cyklar 15 km på lördagen och 12 km på söndagen i 3 veckor. Hur långt cyklar han totalt?,81.0,multiplikation
Alva delar 84 godisbitar lika mellan 7 barn. Hur många bitar får varje barn?,12.0,division
Leo köper 6 paket kort med 18 kort i varje paket. Hur många kort får han?,108.0,multiplikation
Emma har 240 kr. Hon köper 3 böcker för 65 kr styck och en penna för 15 kr. Hur mycket pengar har hon kvar?,30.0,subtraktion
Maja har 8 lådor med 13 bollar i varje. Hur många bollar är det totalt?,104.0,multiplikation
Noah lägger 84 kort i högar med 6 i varje. Hur många högar blir det?,14.0,division
Selina sparar 45 kr i veckan i 8 veckor. Hur mycket pengar sparar hon?,360.0,multiplikation
Arvin har 300 kr. Han köper en jacka för 185 kr och en mössa för 45 kr. Hur mycket pengar har han kvar?,70.0,subtraktion
Clara köper 9 paket sudd med 7 sudd i varje paket. Hon ger bort 11 sudd. Hur många sudd har hon kvar?,52.0,multiplikation
Omar läser 60 sidor på 4 dagar lika många varje dag. Hur många sidor per dag?,15.0,division
Elsa har 120 pärlor. Hon gör halsband med 10 pärlor i varje. Hon ger bort 3 halsband. Hur många halsband har hon kvar?,9.0,division
