Fråga,Svar,Område
Emma köper 3 paket pennor. Varje paket innehåller 12 pennor. Hon ger bort 5 pennor till en kompis. Hur många pennor har hon kvar?,31,multiplikation
Leo sparar 25 kr varje vecka i 8 veckor. Hur mycket pengar har han sparat?,200,multiplikation
Maja bakar 4 plåtar bullar med 15 bullar på varje plåt. Familjen äter upp 18 bullar. Hur många bullar finns kvar?,42,multiplikation
En klass ska åka buss. Det finns 9 rader med 4 platser i varje rad. Hur många elever får plats på bussen?,36,multiplikation
Noah läser 18 sidor varje dag i 6 dagar. Hur många sidor har han läst totalt?,108,multiplikation
En affär säljer 7 lådor med 24 äpplen i varje låda. Hur många äpplen säljs totalt?,168,multiplikation
Alva har 120 kr. Hon köper 3 böcker som kostar 28 kr styck. Hur mycket pengar har hon kvar?,36,subtraktion
Erik tränar 35 minuter varje dag i 5 dagar. Hur många minuter tränar han totalt?,175,multiplikation
Clara delar 48 kakor lika mellan 6 barn. Hur många kakor får varje barn?,8,division
William har 96 klistermärken. Han lägger dem i album med 12 klistermärken på varje sida. Hur många sidor behövs?,8,division
En bondgård har 8 hagar. I varje hage går 14 får. Hur många får finns det totalt?,112,multiplikation
Liv köper 5 påsar godis med 18 bitar i varje påse. Hon ger bort 20 bitar. Hur många har hon kvar?,70,multiplikation
En bok har 240 sidor. Omar läser 30 sidor per dag. Hur många dagar tar det att läsa hela boken?,8,division
Elsa samlar 9 snäckor varje dag i 7 dagar. Hur många snäckor samlar hon?,63,multiplikation
Leo cyklar 6 km varje dag i 5 dagar. Hur långt cyklar han totalt?,30,mått
Anna köper 4 pizzor. Varje pizza delas i 8 bitar. Hur många bitar finns det totalt?,32,multiplikation
Hussein har 144 kr. Han köper 6 spel för lika mycket pengar. Hur mycket kostar varje spel?,24,division
Selina planterar 12 rader morötter med 9 morötter i varje rad. Hur många morötter planterar hon?,108,multiplikation
Arvin har 75 kulor. Han ger bort 28 kulor till en kompis. Hur många kulor har han kvar?,47,subtraktion
Lina köper 3 biljetter som kostar 45 kr styck. Hur mycket betalar hon totalt?,135,multiplikation
Emily läser 12 sidor på morgonen och 18 sidor på kvällen i 5 dagar. Hur många sidor läser hon totalt?,150,multiplikation
Debora har 84 pärlor. Hon gör armband med 7 pärlor i varje. Hur många armband kan hon göra?,12,division
Gedri köper 9 glassar som kostar 12 kr styck. Hur mycket betalar han?,108,multiplikation
Erik har 200 kr. Han köper en tröja för 135 kr. Hur mycket pengar har han kvar?,65,subtraktion
Anna springer 4 km varje dag i 7 dagar. Hur långt springer hon totalt?,28,mått
Leo har 64 legobitar. Han bygger torn med 8 bitar i varje torn. Hur många torn kan han bygga?,8,division
Clara bakar 6 kakor varje plåt och gör 9 plåtar. Hur många kakor bakar hon?,54,multiplikation
Omar lägger 36 böcker på 6 hyllor lika många på varje. Hur många böcker på varje hylla?,6,division
Elsa har 300 kr. Hon köper 4 spel för 65 kr styck. Hur mycket pengar har hon kvar?,40,subtraktion
William cyklar 12 km på lördagen och 18 km på söndagen i 4 veckor. Hur långt cyklar han totalt?,120,multiplikation
Alva delar 72 godisbitar lika mellan 8 barn. Hur många bitar får varje barn?,9,division
Leo köper 5 paket kort med 16 kort i varje paket. Hur många kort får han?,80,multiplikation
Emma har 180 kr. Hon köper 3 böcker för 48 kr styck. Hur mycket pengar har hon kvar?,36,subtraktion
Maja har 9 lådor med 11 bollar i varje. Hur många bollar är det?,99,multiplikation
Noah lägger 56 kort i högar med 7 i varje. Hur många högar blir det?,8,division
Selina sparar 40 kr i veckan i 6 veckor. Hur mycket pengar sparar hon?,240,multiplikation
Arvin har 150 kr. Han köper en keps för 75 kr och en glass för 20 kr. Hur mycket har han kvar?,55,subtraktion
Clara köper 7 paket sudd med 9 sudd i varje paket. Hur många sudd köper hon?,63,multiplikation
Omar läser 45 sidor på tre dagar lika många varje dag. Hur många sidor per dag?,15,division
Elsa har 96 pärlor. Hon gör halsband med 12 pärlor i varje. Hur många halsband kan hon göra?,8,division
